start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,start_time_dt,rat_period_start_dt,rat_period_end_dt,sunset_time_dt,seconds_after_rat_arrival_cat
7/02/2018 18:11,7.0,"94.0,305.0,239.0,416.0; 364.8,139.3,462.3,241.3",7/02/2018 18:11,7/02/2018 18:11,10,0,0,2,7/02/2018 17:19,0.8775,0,2018-02-07 18:11:00,2018-02-07 18:11:00,2018-02-07 18:11:00,2018-02-07 17:19:00,0-10s
7/02/2018 18:32,1.0,rat,7/02/2018 18:29,7/02/2018 18:44,166,1,0,2,7/02/2018 17:19,1.225277778,0,2018-02-07 18:32:00,2018-02-07 18:29:00,2018-02-07 18:44:00,2018-02-07 17:19:00,1-5min
7/02/2018 22:58,14.0,pick,7/02/2018 22:53,7/02/2018 22:58,299,0,1,2,7/02/2018 17:19,5.661944444,0,2018-02-07 22:58:00,2018-02-07 22:53:00,2018-02-07 22:58:00,2018-02-07 17:19:00,1-5min
8/02/2018 1:47,8.0,rat attack,8/02/2018 1:47,8/02/2018 1:48,7,1,0,2,7/02/2018 17:19,8.481666667,0,2018-02-08 01:47:00,2018-02-08 01:47:00,2018-02-08 01:48:00,2018-02-07 17:19:00,0-10s
8/02/2018 1:52,1.0,fast,8/02/2018 1:52,8/02/2018 1:52,2,0,1,2,7/02/2018 17:19,8.554722222,0,2018-02-08 01:52:00,2018-02-08 01:52:00,2018-02-08 01:52:00,2018-02-07 17:19:00,0-10s
8/02/2018 2:06,6.0,rat,8/02/2018 2:05,8/02/2018 2:09,74,1,0,2,7/02/2018 17:19,8.796944444,0,2018-02-08 02:06:00,2018-02-08 02:05:00,2018-02-08 02:09:00,2018-02-07 17:19:00,1-5min
8/02/2018 2:06,1.0,rat,8/02/2018 2:05,8/02/2018 2:09,80,1,0,2,7/02/2018 17:19,8.798611111,0,2018-02-08 02:06:00,2018-02-08 02:05:00,2018-02-08 02:09:00,2018-02-07 17:19:00,1-5min
8/02/2018 2:07,7.0,rat,8/02/2018 2:05,8/02/2018 2:09,99,1,0,2,7/02/2018 17:19,8.803888889,0,2018-02-08 02:07:00,2018-02-08 02:05:00,2018-02-08 02:09:00,2018-02-07 17:19:00,1-5min
8/02/2018 2:07,4.0,rat,8/02/2018 2:05,8/02/2018 2:09,116,1,0,2,7/02/2018 17:19,8.808611111,0,2018-02-08 02:07:00,2018-02-08 02:05:00,2018-02-08 02:09:00,2018-02-07 17:19:00,1-5min
8/02/2018 2:08,4.0,rat,8/02/2018 2:05,8/02/2018 2:09,200,1,0,2,7/02/2018 17:19,8.831944444,0,2018-02-08 02:08:00,2018-02-08 02:05:00,2018-02-08 02:09:00,2018-02-07 17:19:00,1-5min
8/02/2018 3:41,0.035867953,rat,8/02/2018 3:41,8/02/2018 3:45,27,1,0,2,7/02/2018 17:19,10.37444444,0,2018-02-08 03:41:00,2018-02-08 03:41:00,2018-02-08 03:45:00,2018-02-07 17:19:00,10-60s
2/02/2018 0:43,2.0,fast,2/02/2018 0:40,2/02/2018 0:44,184,0,1,2,1/02/2018 17:14,7.489722222,0,2018-02-02 00:43:00,2018-02-02 00:40:00,2018-02-02 00:44:00,2018-02-01 17:14:00,1-5min
2/02/2018 0:44,1.0,rat,2/02/2018 0:40,2/02/2018 0:44,239,1,0,2,1/02/2018 17:14,7.505,0,2018-02-02 00:44:00,2018-02-02 00:40:00,2018-02-02 00:44:00,2018-02-01 17:14:00,1-5min
9/02/2018 0:06,3.0,fast,9/02/2018 0:06,9/02/2018 0:06,2,0,1,2,8/02/2018 17:20,6.767222222,0,2018-02-09 00:06:00,2018-02-09 00:06:00,2018-02-09 00:06:00,2018-02-08 17:20:00,0-10s
9/02/2018 0:11,1.0,rat,9/02/2018 0:09,9/02/2018 0:13,135,1,0,2,8/02/2018 17:20,6.862222222,0,2018-02-09 00:11:00,2018-02-09 00:09:00,2018-02-09 00:13:00,2018-02-08 17:20:00,1-5min
9/02/2018 0:26,17.0,pick,9/02/2018 0:26,9/02/2018 0:32,2,0,1,2,8/02/2018 17:20,7.114722222,0,2018-02-09 00:26:00,2018-02-09 00:26:00,2018-02-09 00:32:00,2018-02-08 17:20:00,0-10s
9/02/2018 0:29,1.0,rat,9/02/2018 0:26,9/02/2018 0:32,154,1,0,2,8/02/2018 17:20,7.156944444,0,2018-02-09 00:29:00,2018-02-09 00:26:00,2018-02-09 00:32:00,2018-02-08 17:20:00,1-5min
9/02/2018 3:31,1.0,rat,9/02/2018 3:28,9/02/2018 3:33,146,1,0,2,8/02/2018 17:20,10.18444444,0,2018-02-09 03:31:00,2018-02-09 03:28:00,2018-02-09 03:33:00,2018-02-08 17:20:00,1-5min
9/02/2018 3:32,21.0,rat,9/02/2018 3:28,9/02/2018 3:33,211,1,0,2,8/02/2018 17:20,10.2025,0,2018-02-09 03:32:00,2018-02-09 03:28:00,2018-02-09 03:33:00,2018-02-08 17:20:00,1-5min
9/02/2018 3:32,9.0,pick,9/02/2018 3:28,9/02/2018 3:33,246,0,1,2,8/02/2018 17:20,10.21222222,0,2018-02-09 03:32:00,2018-02-09 03:28:00,2018-02-09 03:33:00,2018-02-08 17:20:00,1-5min
13/02/2018 3:44,1.0,rat,13/02/2018 3:43,13/02/2018 3:45,77,1,0,2,12/02/2018 17:24,10.34222222,0,2018-02-13 03:44:00,2018-02-13 03:43:00,2018-02-13 03:45:00,2018-02-12 17:24:00,1-5min
13/02/2018 3:50,3.0,fast,13/02/2018 3:49,13/02/2018 3:50,59,0,1,2,12/02/2018 17:24,10.435,0,2018-02-13 03:50:00,2018-02-13 03:49:00,2018-02-13 03:50:00,2018-02-12 17:24:00,10-60s
14/02/2018 22:05,1.0,rat,14/02/2018 22:04,14/02/2018 22:12,89,1,0,2,14/02/2018 17:26,4.659166667,0,2018-02-14 22:05:00,2018-02-14 22:04:00,2018-02-14 22:12:00,2018-02-14 17:26:00,1-5min
14/02/2018 22:08,2.0,rat,14/02/2018 22:04,14/02/2018 22:12,259,1,0,2,14/02/2018 17:26,4.706388889,0,2018-02-14 22:08:00,2018-02-14 22:04:00,2018-02-14 22:12:00,2018-02-14 17:26:00,1-5min
14/02/2018 22:11,4.0,rat,14/02/2018 22:04,14/02/2018 22:12,470,1,0,2,14/02/2018 17:26,4.765,0,2018-02-14 22:11:00,2018-02-14 22:04:00,2018-02-14 22:12:00,2018-02-14 17:26:00,>5min
14/02/2018 22:46,2.0,rat,14/02/2018 22:43,14/02/2018 22:52,187,1,0,2,14/02/2018 17:26,5.341666667,0,2018-02-14 22:46:00,2018-02-14 22:43:00,2018-02-14 22:52:00,2018-02-14 17:26:00,1-5min
14/02/2018 22:46,1.0,rat,14/02/2018 22:43,14/02/2018 22:52,204,1,0,2,14/02/2018 17:26,5.346388889,0,2018-02-14 22:46:00,2018-02-14 22:43:00,2018-02-14 22:52:00,2018-02-14 17:26:00,1-5min
